SameGender TimeDifference Batch_X Batch_Y MatchPercentage
True 54 5 6 46
True 77 6 7 23
False 3 2 2 87
False 43 3 2 47
True 18 5 6 82
False 8 2 3 82
True 11 6 7 89
True 48 4 4 52
False 20 3 3 70
False 99 5 6 0
True 6 2 1 94
True 86 1 1 14
False 84 4 4 6
False 53 3 2 37
True 44 4 3 56
False 86 6 7 4
False 67 6 6 23
True 28 4 5 72
True 0 2 2 100
True 98 2 2 2
False 41 1 0 49
False 95 4 3 0
True 48 5 6 52
True 64 5 6 36
False 9 4 5 81
True 55 1 1 45
True 40 5 5 60
False 90 6 6 0
False 14 4 3 76
False 21 5 5 69
False 11 4 3 79
True 55 5 5 45
True 50 3 4 50
False 28 3 2 62
True 65 6 5 35
True 99 3 3 1
True 30 1 0 70
False 25 2 3 65
True 97 6 5 3
True 98 6 6 2
False 96 5 6 0
False 87 5 6 3
False 80 3 2 10
False 8 4 4 82
False 35 5 4 55
False 64 1 1 26
False 57 1 0 33
False 36 1 2 54
True 78 5 6 22
False 59 5 6 31
True 57 5 6 43
True 41 5 5 59
True 7 4 3 93
False 91 1 2 0
True 5 2 3 95
False 56 5 6 34
True 46 3 3 54
False 52 3 4 38
True 80 6 6 20
True 42 1 2 58
False 36 3 4 54
True 42 1 2 58
True 44 3 4 56
False 16 5 6 74
True 39 5 5 61
False 16 6 7 74
True 82 6 6 18
False 2 3 3 88
True 27 3 3 73
True 28 2 1 72
True 37 1 2 63
True 84 3 4 16
True 76 4 3 24
True 23 6 7 77
True 92 4 3 8
False 46 6 7 44
True 56 5 5 44
False 29 5 4 61
False 100 4 3 0
False 86 5 5 4
False 98 3 3 0
False 20 2 3 70
True 32 1 2 68
False 47 5 4 43
True 36 1 0 64
False 57 5 4 33
False 11 2 2 79
False 3 4 3 87
False 64 3 2 26
False 10 3 2 80
True 40 1 2 60
False 18 2 1 72
False 60 6 5 30
False 57 5 4 33
True 2 3 2 98
True 70 6 7 30
False 14 3 2 76
False 15 1 0 75
False 81 5 5 9
True 14 4 5 86
True 80 5 6 20
True 91 2 2 9
False 0 5 5 90
True 73 4 3 27
True 67 3 2 33
True 49 4 3 51
False 47 3 4 43
True 45 1 1 55
True 93 6 7 7
True 98 5 6 2
False 17 1 1 73
False 82 2 3 8
False 89 4 5 1
True 17 1 2 83
False 4 3 2 86
True 25 1 1 75
False 65 4 5 25
False 32 1 2 58
True 36 3 2 64
False 34 1 1 56
False 51 6 6 39
False 43 2 2 47
False 47 5 5 43
True 93 4 3 7
False 77 2 3 13
False 41 1 0 49
False 84 3 3 6
False 77 6 6 13
True 88 4 4 12
False 5 6 6 85
False 35 6 5 55
True 85 6 6 15
False 65 6 7 25
True 3 2 3 97
False 4 2 1 86
True 99 6 6 1
False 49 5 4 41
True 86 4 4 14
False 56 1 2 34
True 67 3 3 33
False 83 3 2 7
True 3 6 5 97
False 66 4 5 24
True 33 3 4 67
False 27 5 5 63
False 25 1 0 65
True 57 2 3 43
False 11 6 6 79
False 90 1 2 0
False 38 2 3 52
True 46 5 4 54
True 25 2 1 75
False 3 3 4 87
False 59 5 4 31
True 8 3 3 92
False 67 4 4 23
True 16 3 4 84
True 57 4 5 43
False 16 5 6 74
True 98 2 2 2
True 15 5 4 85
False 21 2 2 69
True 44 5 5 56
True 32 2 3 68
False 16 6 6 74
True 64 6 5 36
True 21 6 7 79
False 72 1 0 18
True 5 6 7 95
False 83 2 3 7
False 79 6 5 11
False 80 5 5 10
False 61 2 3 29
False 38 4 3 52
True 20 4 4 80
False 59 2 2 31
True 40 6 6 60
False 51 2 2 39
True 40 2 2 60
True 34 4 3 66
True 12 1 1 88
False 78 4 3 12
True 41 5 6 59
False 24 2 2 66
False 63 3 3 27
True 11 4 5 89
False 30 2 3 60
False 6 1 1 84
False 76 6 7 14
False 36 5 4 54
True 55 2 2 45
False 97 4 4 0
True 51 1 2 49
True 46 5 5 54
True 49 5 5 51
False 79 6 7 11
True 16 1 1 84
False 43 5 5 47
True 25 5 6 75
False 64 1 0 26
True 17 6 6 83
False 66 4 3 24
True 41 5 5 59
True 50 5 6 50
False 75 3 4 15
False 90 5 5 0
False 2 3 3 88
True 53 5 5 47
True 76 4 4 24
True 92 1 2 8
False 21 5 6 69
False 18 6 5 72
True 73 6 5 27
True 2 4 4 98
False 19 4 5 71
True 52 5 6 48
False 94 6 5 0
True 66 2 3 34
False 84 4 5 6
False 40 2 2 50
False 69 3 4 21
False 78 4 3 12
True 35 5 5 65
True 38 3 4 62
True 88 6 6 12
False 61 3 4 29
False 36 1 2 54
False 50 3 2 40
False 5 3 4 85
True 44 4 5 56
False 95 4 3 0
True 68 3 4 32
False 17 1 2 73
True 31 1 2 69
True 81 2 1 19
True 52 3 4 48
False 12 6 5 78
True 70 2 2 30
False 61 6 5 29
False 41 3 4 49
True 98 1 2 2
True 68 6 7 32
True 22 4 3 78
True 50 4 3 50
False 4 1 1 86
True 42 3 3 58
False 17 5 5 73
False 24 1 1 66
True 93 4 5 7
False 91 2 1 0
False 37 5 6 53
True 22 5 6 78
False 54 5 5 36
True 51 6 5 49
True 17 4 4 83
True 0 3 3 100
True 57 3 3 43
False 74 6 7 16
True 33 6 6 67
True 7 6 5 93
False 39 2 2 51
False 88 1 2 2
False 47 5 4 43
True 17 4 3 83
False 95 5 5 0
False 89 5 5 1
True 97 2 3 3
True 67 4 5 33
False 9 5 4 81
True 70 5 4 30
True 21 3 4 79
False 14 6 5 76
False 11 5 5 79
True 58 2 3 42
False 58 5 4 32
False 86 3 4 4
True 50 3 2 50
True 74 1 0 26
False 44 6 5 46
True 8 4 3 92
False 52 2 1 38
False 47 4 4 43
False 48 1 2 42
True 83 3 2 17
True 68 4 5 32
True 93 2 1 7
True 38 4 5 62
False 68 4 3 22
True 58 3 2 42
False 24 6 5 66
True 84 4 5 16
True 30 2 1 70
True 76 1 1 24
True 31 6 5 69
False 56 2 3 34
True 96 1 0 4
False 29 6 7 61
False 73 5 6 17
False 30 3 2 60
True 52 3 3 48
True 71 5 6 29
True 80 6 6 20
False 6 3 4 84
False 100 5 5 0
False 52 2 2 38
False 23 5 5 67
True 28 3 4 72
True 59 1 2 41
False 53 5 6 37
True 49 2 2 51
True 42 6 5 58
False 47 1 2 43
True 6 3 3 94
True 9 2 3 91
True 61 2 2 39
False 1 2 1 89
True 95 4 3 5
True 50 2 3 50
False 99 3 3 0
False 68 6 6 22
False 33 3 4 57
False 59 1 2 31
False 97 3 2 0
False 40 4 3 50
True 94 2 1 6
False 70 5 6 20
False 37 2 1 53
False 29 4 5 61
True 63 5 6 37
False 32 4 5 58
False 58 2 3 32
False 21 2 3 69
False 23 5 6 67
True 67 1 0 33
True 97 1 1 3
True 80 2 1 20
True 1 2 3 99
False 47 1 2 43
False 84 4 3 6
True 68 5 5 32
True 2 5 6 98
False 68 3 2 22
False 22 1 0 68
True 30 2 3 70
False 45 3 3 45
True 47 4 4 53
True 89 2 2 11
True 83 6 5 17
True 51 4 4 49
False 7 6 5 83
True 10 4 4 90
False 72 1 2 18
True 29 2 3 71
False 34 1 0 56
False 69 5 6 21
True 22 3 2 78
True 75 2 3 25
False 9 3 2 81
True 72 4 5 28
False 49 6 5 41
True 64 6 6 36
True 12 4 3 88
True 43 5 6 57
False 99 3 2 0
False 100 4 4 0
True 45 5 5 55
False 23 6 7 67
False 10 5 5 80
True 91 1 0 9
False 19 4 5 71
True 94 4 4 6
False 13 1 0 77
False 56 3 3 34
True 16 1 0 84
False 57 5 6 33
False 13 1 0 77
False 70 1 2 20
False 49 1 1 41
False 49 1 2 41
True 73 5 4 27
False 21 2 2 69
False 34 4 3 56
True 21 4 4 79
False 38 4 3 52
False 32 2 3 58
False 76 5 4 14
False 13 2 2 77
True 50 3 4 50
False 42 4 4 48
False 83 5 4 7
False 41 5 6 49
True 61 3 2 39
False 40 3 4 50
False 73 2 2 17
False 35 4 4 55
True 72 2 3 28
True 87 5 4 13
False 90 2 2 0
False 88 1 1 2
False 17 6 6 73
True 32 6 5 68
False 48 1 1 42
False 74 4 5 16
False 69 1 1 21
True 13 2 3 87
False 21 6 7 69
True 72 6 7 28
False 96 3 3 0
True 1 1 1 99
True 65 6 7 35
True 57 3 3 43
False 98 6 7 0
True 44 1 1 56
True 37 4 3 63
True 93 2 2 7
False 43 4 3 47
False 44 4 3 46
False 92 6 6 0
False 8 3 2 82
True 2 3 4 98
True 86 2 3 14
True 66 2 3 34
True 42 5 5 58
False 29 4 5 61
True 23 6 7 77
False 50 1 2 40
True 57 5 5 43
False 0 6 5 90
True 35 6 5 65
True 68 2 2 32
False 25 4 3 65
False 85 4 5 5
False 76 4 5 14
False 75 1 1 15
False 58 5 4 32
False 78 5 4 12
True 40 1 0 60
False 14 2 2 76
True 65 4 4 35
True 73 4 4 27
True 62 6 7 38
True 71 2 2 29
False 17 2 2 73
False 79 1 1 11
True 62 2 1 38
False 71 5 6 19
False 52 6 6 38
False 90 4 4 0
True 10 5 4 90
True 37 1 1 63
True 68 3 2 32
False 72 6 6 18
True 73 1 1 27
False 69 1 2 21
False 69 2 2 21
True 94 6 5 6
False 4 4 4 86
False 11 4 3 79
True 26 6 7 74
False 90 5 6 0
False 21 5 4 69
True 26 1 2 74
False 68 3 4 22
True 41 6 6 59
False 73 3 4 17
True 17 4 3 83
False 83 2 3 7
True 31 2 3 69
False 31 6 6 59
False 18 5 6 72
False 80 4 4 10
False 9 6 5 81
False 65 6 6 25
False 58 4 4 32
True 99 6 5 1
False 81 6 7 9
False 8 5 5 82
True 54 2 2 46
False 41 3 3 49
True 72 4 4 28
True 5 1 2 95
False 2 1 0 88
False 58 1 1 32
True 88 2 3 12
False 20 3 2 70
False 32 1 1 58
True 6 4 5 94
False 92 6 5 0
False 83 1 2 7
True 0 2 2 100
True 16 5 4 84
False 1 1 2 89
False 15 4 5 75
True 61 1 0 39
False 11 6 5 79
True 40 3 3 60
True 48 2 3 52
True 8 5 6 92
True 78 6 5 22
False 44 6 5 46
True 52 5 6 48
False 27 1 0 63
True 96 1 2 4
False 44 4 4 46
True 31 3 4 69
True 31 5 6 69
False 99 6 5 0
False 26 5 6 64
True 95 4 4 5
True 100 2 2 0
False 14 2 2 76
True 67 1 1 33
False 16 4 5 74
False 46 5 6 44
True 97 4 3 3
True 75 1 0 25
False 27 1 0 63
False 64 3 4 26
False 54 6 6 36
True 81 5 6 19
True 35 1 1 65
True 65 2 1 35
False 50 5 6 40
True 39 6 6 61
True 7 2 1 93
False 14 4 5 76
True 39 6 7 61
True 15 1 2 85
True 89 1 0 11
False 44 5 6 46
False 21 3 2 69
False 93 1 0 0
False 54 3 4 36
True 33 6 7 67
True 63 4 5 37
False 7 4 5 83
True 47 2 2 53
True 73 6 7 27
True 29 6 7 71
True 5 1 0 95
True 60 3 3 40
True 22 1 2 78
False 28 3 2 62
False 92 3 3 0
True 73 3 2 27
True 22 2 3 78
True 51 1 1 49
False 99 3 3 0
True 70 4 3 30
False 25 3 4 65
False 94 5 4 0
False 47 5 5 43
True 93 5 4 7
True 0 4 3 100
True 69 3 4 31
True 42 1 2 58
False 94 6 6 0
True 26 5 4 74
False 62 1 0 28
False 11 1 0 79
False 89 3 3 1
True 74 1 2 26
True 81 4 3 19
True 55 6 5 45
True 37 3 3 63
False 89 6 6 1
False 57 3 2 33
True 25 2 3 75
True 19 1 0 81
False 59 3 3 31
True 68 3 2 32
False 39 4 4 51
True 11 2 3 89
False 90 6 7 0
True 27 3 2 73
True 91 2 2 9
False 65 1 2 25
False 33 2 1 57
False 57 5 6 33
True 12 4 3 88
True 15 1 0 85
True 16 2 2 84
False 87 6 7 3
True 74 5 5 26
True 2 1 0 98
False 16 1 1 74
True 5 4 3 95
True 73 4 5 27
False 63 1 1 27
False 22 3 2 68
True 35 3 3 65
True 4 5 6 96
True 82 3 3 18
False 70 4 3 20
True 35 4 3 65
False 25 6 7 65
True 80 5 4 20
False 100 6 6 0
False 69 4 4 21
False 49 3 2 41
True 40 5 4 60
True 99 3 2 1
False 67 3 4 23
True 20 1 0 80
True 34 5 6 66
True 97 2 3 3
False 45 2 1 45
True 75 3 4 25
False 75 1 2 15
False 72 5 4 18
True 63 5 5 37
True 62 1 0 38
True 29 5 4 71
True 67 4 3 33
False 78 2 1 12
False 91 2 2 0
True 2 2 3 98
True 99 1 2 1
False 9 3 4 81
False 75 1 1 15
False 41 2 1 49
False 81 4 5 9
False 22 6 7 68
False 28 6 7 62
True 48 3 4 52
